well_name,monitoring_location_id,Aquifer,well_group,well_group_v0,hydrograph
06N/35E-09B01,USGS-460109118262801,basin-fill,A,A,1
06N/35E-18A06,USGS-460014118282201,basin-fill,A,A,1
06N/35E-18A05,USGS-460014118281805,basalt,A,A,1
UMAT0058603,NA,basin-fill,B,B,1
UMAT0005065,NA,basin-fill,B,B,1
UMAT0053833,NA,basin-fill,B,B,1
UMAT0058103,NA,basin-fill,B,B,1
06N/33E-03L01,USGS-460135118401101,basin-fill,C,C,1
06N/35E-11J01,USGS-460043118232801,basin-fill,C,C,1
07N/34E-34E02,USGS-460235118330701,basin-fill,C,C,1
UMAT0003908,NA,basalt,D,D,1
UMAT0003958,NA,basalt,D,D,1
UMAT0003963,NA,basalt,D,D,1
UMAT0058119,NA,basalt,D,D,0
10N/37E-23R01,USGS-461935118081501,basalt,E,E,1
UMAT0003879,NA,basalt,E,E,1
UMAT0003965,NA,basalt,E,E,1
UMAT0054639,NA,basalt,D,E,1
UMAT0058161,NA,basalt,E,E,1
UMAT0058602,NA,basalt,D,E,1
